n,Team,Year,# Foreign Players,Wins,Losses,W/L Ratio,Net Wins,Total Foreign Players,ORtg,DRtg,NetRtg,Rel ORtg,Rel DRtg,Top 3 Win,Top 3 Foreign,% Foreign,location
317,Milwaukee Bucks,2011,4,17,65,0.26,-48,,101.6,102.5,-0.9,-6,-4.8,,,,E
318,Minnesota Timberwolves,2011,3,24,58,0.41,-34,,104.2,111.1,-6.9,-3.4,3.8,,,,W
319,New Orleans Pelicans,2011,6,46,36,1.28,10,,106.2,105.2,1,-1.4,-2.1,,,,W
320,New York Knicks,2011,4,42,40,1.05,2,,110.9,110.1,0.8,3.3,2.8,,,,E
321,Oklahoma City Thunder,2011,3,55,27,2.04,28,,111.2,107.2,4,3.6,-0.1,,,,W
322,Orlando Magic,2011,3,52,30,1.73,22,,107.9,102,5.9,0.3,-5.3,,,,E
323,Philadelphia 76ers,2011,2,41,41,1,0,,106.6,105,1.6,-1,-2.3,,,,E
324,Phoenix Suns,2011,5,40,42,0.95,-2,,109.5,110.4,-0.9,1.9,3.1,,,,W
325,Portland Trail Blazers,2011,5,48,34,1.41,14,,108.8,107.1,1.7,1.2,-0.2,,,,W
326,Sacramento Kings,2011,5,24,58,0.41,-34,,103.5,109,-5.5,-4.1,1.7,,,,W
327,San Antonio Spurs,2011,4,61,21,2.9,40,,111.8,105.6,6.2,4.2,-1.7,,,,W
328,Toronto Raptors,2011,8,22,60,0.37,-38,,106.1,112.9,-6.8,-1.5,5.6,,,,E
329,Utah Jazz,2011,5,39,43,0.91,-4,,108.1,110.1,-2,0.5,2.8,,,,W
330,Washington Wizards,2011,3,23,59,0.39,-36,,102.4,110.2,-7.8,-5.2,2.9,,,,E
