n,team,state,team_full,season,Wins,Losses,win_lose_ratio,Net Wins,ORtg,DRtg,netrtg,Rel ORtg,Rel DRtg,location,team_type,team_logo
81,OKC,oklahoma,Oklahoma City Thunder,2019,49,33,1.48,16,110.3,107,3.3,-0.1,-3.4,W,O,logos/Oklahoma City Thunder.jpg
111,OKC,oklahoma,Oklahoma City Thunder,2018,48,34,1.41,14,110.7,107.2,3.5,2.1,-1.4,W,O,logos/Oklahoma City Thunder.jpg
141,OKC,oklahoma,Oklahoma City Thunder,2017,47,35,1.34,12,108.3,107.5,0.8,-0.5,-1.3,W,S,logos/Oklahoma City Thunder.jpg
171,OKC,oklahoma,Oklahoma City Thunder,2016,55,27,2.04,28,113.1,105.6,7.5,6.7,-0.8,W,O,logos/Oklahoma City Thunder.jpg
201,OKC,oklahoma,Oklahoma City Thunder,2015,45,37,1.22,8,107.8,105.5,2.3,2.2,-0.1,W,S,logos/Oklahoma City Thunder.jpg
231,OKC,oklahoma,Oklahoma City Thunder,2014,59,23,2.57,36,110.5,103.9,6.6,3.8,-2.8,W,O,logos/Oklahoma City Thunder.jpg
261,OKC,oklahoma,Oklahoma City Thunder,2013,60,22,2.73,38,112.4,102.6,9.8,6.5,-3.3,W,O,logos/Oklahoma City Thunder.jpg
291,OKC,oklahoma,Oklahoma City Thunder,2012,47,19,2.47,28,109.8,103.2,6.6,5.2,-1.4,W,S,logos/Oklahoma City Thunder.jpg
321,OKC,oklahoma,Oklahoma City Thunder,2011,55,27,2.04,28,111.2,107.2,4,3.6,-0.1,W,O,logos/Oklahoma City Thunder.jpg
20,NYK,new york,New York Knicks,2021,41,31,1.32,10,110.6,108.2,2.4,-1.7,-4.1,E,S,logos/New York Knicks.jpg
50,NYK,new york,New York Knicks,2020,21,45,0.47,-24,106.5,113,-6.5,-4.1,2.4,E,D,logos/New York Knicks.jpg
80,NYK,new york,New York Knicks,2019,17,65,0.26,-48,104.5,113.7,-9.2,-5.9,3.3,E,D,logos/New York Knicks.jpg
110,NYK,new york,New York Knicks,2018,29,53,0.55,-24,107.1,110.7,-3.6,-1.5,2.1,E,D,logos/New York Knicks.jpg
140,NYK,new york,New York Knicks,2017,31,51,0.61,-20,107.7,111.5,-3.8,-1.1,2.7,E,D,logos/New York Knicks.jpg
170,NYK,new york,New York Knicks,2016,32,50,0.64,-18,104.6,107.6,-3,-1.8,1.2,E,D,logos/New York Knicks.jpg
200,NYK,new york,New York Knicks,2015,17,65,0.26,-48,99.9,110,-10.1,-5.7,4.4,E,D,logos/New York Knicks.jpg
230,NYK,new york,New York Knicks,2014,37,45,0.82,-8,108.3,109.1,-0.8,1.6,2.4,E,S,logos/New York Knicks.jpg
260,NYK,new york,New York Knicks,2013,54,28,1.93,26,111.1,106.3,4.8,5.2,0.4,E,O,logos/New York Knicks.jpg
290,NYK,new york,New York Knicks,2012,36,30,1.2,6,104.4,101,3.4,-0.2,-3.6,E,D,logos/New York Knicks.jpg
320,NYK,new york,New York Knicks,2011,42,40,1.05,2,110.9,110.1,0.8,3.3,2.8,E,S,logos/New York Knicks.jpg
19,NOH,louisiana,New Orleans Pelicans,2021,31,41,0.76,-10,113.5,113.8,-0.3,1.2,1.5,W,S,logos/New Orleans Pelicans.jpg
49,NOH,louisiana,New Orleans Pelicans,2020,30,42,0.71,-12,110.7,111.9,-1.2,0.1,1.3,W,S,logos/New Orleans Pelicans.jpg
79,NOH,louisiana,New Orleans Pelicans,2019,33,49,0.67,-16,111.4,112.6,-1.2,1,2.2,W,S,logos/New Orleans Pelicans.jpg
